waste_type,total_waste_generated_tonne,total_waste_recycled_tonne,recycling_rate,waste_disposed_of_tonne,year,calc_recycling_rate
food waste,791000.0,111100.0,0.14,679900.0,2016,14.05
paper cardboard,1183100.0,607100.0,0.51,576000.0,2016,51.31
plastic,822200.0,59500.0,0.07,762700.0,2016,7.24
construction debris,1595400.0,1585700.0,0.99,9700.0,2016,99.39
horticultural waste,320500.0,209000.0,0.65,111500.0,2016,65.21
wood timber,530700.0,411600.0,0.78,119100.0,2016,77.56
ferrous metal,1357500.0,1351500.0,0.99,6000.0,2016,99.56
nonferrous metal,97200.0,95900.0,0.99,1300.0,2016,98.66
used slag,251100.0,247000.0,0.98,4100.0,2016,98.37
ash sludge,227300.0,28300.0,0.13,199000.0,2016,12.45
glass,72300.0,14700.0,0.2,57600.0,2016,20.33
textile leather,150700.0,10900.0,0.07,139800.0,2016,7.23
scrap tyre,32700.0,29700.0,0.91,3000.0,2016,90.83
others stone ceramic rubber etc,382500.0,7000.0,0.02,375500.0,2016,1.83
total,7814200.0,4769000.0,0.61,3045200.0,2016,61.03
food waste,785500.0,104100.0,0.13,681400.0,2015,13.25
paper cardboard,1192200.0,603700.0,0.51,588500.0,2015,50.64
plastic,824600.0,57800.0,0.07,766800.0,2015,7.01
construction debris,1411800.0,1402900.0,0.99,8900.0,2015,99.37
horticultural waste,362000.0,237200.0,0.66,124800.0,2015,65.52
wood timber,370600.0,293700.0,0.79,76900.0,2015,79.25
ferrous metal,1348500.0,1333300.0,0.99,15200.0,2015,98.87
nonferrous metal,180000.0,160400.0,0.89,19600.0,2015,89.11
used slag,369900.0,365800.0,0.99,4100.0,2015,98.89
ash sludge,196000.0,25200.0,0.13,170800.0,2015,12.86
glass,75200.0,14600.0,0.19,60600.0,2015,19.41
textile leather,156700.0,12500.0,0.08,144200.0,2015,7.98
scrap tyre,35500.0,32800.0,0.92,2700.0,2015,92.39
others stone ceramic rubber etc,365000.0,5700.0,0.02,359300.0,2015,1.56
total,7673500.0,4649700.0,0.61,3023800.0,2015,60.59
food waste,788600.0,101400.0,0.13,687200.0,2014,12.86
paper cardboard,1237400.0,646500.0,0.52,590800.0,2014,52.25
plastic,869000.0,80000.0,0.09,789000.0,2014,9.21
construction debris,1269700.0,1260000.0,0.99,9700.0,2014,99.24
horticultural waste,278300.0,163000.0,0.59,115300.0,2014,58.57
wood timber,367900.0,293400.0,0.8,74500.0,2014,79.75
ferrous metal,1445900.0,1388900.0,0.96,57000.0,2014,96.06
nonferrous metal,118400.0,94700.0,0.8,23700.0,2014,79.98
used slag,366300.0,361200.0,0.99,5100.0,2014,98.61
ash sludge,148500.0,21700.0,0.15,126800.0,2014,14.61
glass,79500.0,15700.0,0.2,63800.0,2014,19.75
textile leather,158600.0,16800.0,0.11,141800.0,2014,10.59
scrap tyre,26200.0,23100.0,0.88,3100.0,2014,88.17
others stone ceramic rubber etc,360100.0,4700.0,0.01,355600.0,2014,1.31
total,7514500.0,4471100.0,0.6,3043400.0,2014,59.5
food waste,796000.0,100000.0,0.13,696000.0,2013,12.56
paper cardboard,1261100.0,679400.0,0.54,581700.0,2013,53.87
plastic,832200.0,91100.0,0.11,741100.0,2013,10.95
construction debris,1695300.0,1683000.0,0.99,12300.0,2013,99.27
wood timber,332400.0,254600.0,0.77,77800.0,2013,76.59
horticultural waste,252600.0,120900.0,0.48,131700.0,2013,47.86
ferrous metal,1416000.0,1369200.0,0.97,46800.0,2013,96.69
nonferrous metal,135100.0,114000.0,0.84,21100.0,2013,84.38
used slag,353700.0,344800.0,0.97,8900.0,2013,97.48
ash sludge,190600.0,14200.0,0.07,176400.0,2013,7.45
glass,73500.0,14600.0,0.2,58900.0,2013,19.86
textile leather,156600.0,16300.0,0.1,140300.0,2013,10.41
scrap tyre,21600.0,19000.0,0.88,2600.0,2013,87.96
others stone ceramic rubber etc,334800.0,4800.0,0.01,330000.0,2013,1.43
total,7851500.0,4825900.0,0.61,3025600.0,2013,61.46
food waste,703200.0,85100.0,0.12,618100.0,2012,12.1
paper cardboard,1252000.0,696700.0,0.56,555300.0,2012,55.65
plastic,803400.0,82100.0,0.1,721300.0,2012,10.22
construction debris,1291800.0,1282700.0,0.99,9100.0,2012,99.3
wood timber,343800.0,236000.0,0.69,107800.0,2012,68.64
horticultural waste,247800.0,108000.0,0.44,139800.0,2012,43.58
ferrous metal,1386000.0,1331200.0,0.96,54800.0,2012,96.05
nonferrous metal,122500.0,97300.0,0.79,25200.0,2012,79.43
used slag,367800.0,358000.0,0.97,9800.0,2012,97.34
ash sludge,160200.0,0.0,0.0,160200.0,2012,0.0
glass,74900.0,19500.0,0.26,55400.0,2012,26.03
textile leather,159300.0,18300.0,0.11,141000.0,2012,11.49
scrap tyre,18400.0,16100.0,0.88,2300.0,2012,87.5
others stone ceramic rubber etc,338400.0,4600.0,0.01,333800.0,2012,1.36
total,7269500.0,4335600.0,0.6,2933900.0,2012,59.64
food waste,675500.0,69700.0,0.1,605800.0,2011,10.32
paper cardboard,1368200.0,765000.0,0.56,603200.0,2011,55.91
plastic,733000.0,77000.0,0.11,656000.0,2011,10.5
construction debris,1203700.0,1191100.0,0.99,12600.0,2011,98.95
wood timber,273900.0,176500.0,0.64,97400.0,2011,64.44
horticultural waste,238800.0,89000.0,0.37,149800.0,2011,37.27
ferrous metal,1239200.0,1171600.0,0.95,67600.0,2011,94.54
nonferrous metal,117300.0,102800.0,0.88,14500.0,2011,87.64
