year,waste_type,curr_year_generated,prev_year_generated,yoy_difference,yoy_difference_percent
2003,total,4728200.0,,,
2004,total,4789700.0,4728200.0,61500.0,0.01
2005,total,5018200.0,4789700.0,228500.0,0.05
2006,total,5220500.0,5018200.0,202300.0,0.04
2007,total,5600800.0,5220500.0,380300.0,0.07
2008,total,5970200.0,5600800.0,369400.0,0.07
2009,total,6114100.0,5970200.0,143900.0,0.02
2010,total,6517000.0,6114100.0,402900.0,0.07
2011,total,6898300.0,6517000.0,381300.0,0.06
2012,total,7269500.0,6898300.0,371200.0,0.05
2013,total,7851500.0,7269500.0,582000.0,0.08
2014,total,7514500.0,7851500.0,-337000.0,-0.04
2015,total,7673500.0,7514500.0,159000.0,0.02
2016,total,7814200.0,7673500.0,140700.0,0.02
2017,total,7704000.0,7814200.0,-110200.0,-0.01
2018,total,7759000.0,7704000.0,55000.0,0.01
2019,total,7278000.0,7759000.0,-481000.0,-0.06
2020,total,5880000.0,7278000.0,-1398000.0,-0.19
2021,total,6944000.0,5880000.0,1064000.0,0.18
2022,total,7385000.0,6944000.0,441000.0,0.06
