year,waste_type,curr_year_generated,prev_year_generated,yoy_difference,yoy_difference_percent
2003,ash sludge,88500.0,,,
2004,ash sludge,93900.0,88500.0,5400.0,6.1
2005,ash sludge,98300.0,93900.0,4400.0,4.69
2006,ash sludge,126800.0,98300.0,28500.0,28.99
2007,ash sludge,124600.0,126800.0,-2200.0,-1.74
2008,ash sludge,114600.0,124600.0,-10000.0,-8.03
2009,ash sludge,88900.0,114600.0,-25700.0,-22.43
2010,ash sludge,114400.0,88900.0,25500.0,28.68
2011,ash sludge,152900.0,114400.0,38500.0,33.65
2012,ash sludge,160200.0,152900.0,7300.0,4.77
2013,ash sludge,190600.0,160200.0,30400.0,18.98
2014,ash sludge,148500.0,190600.0,-42100.0,-22.09
2015,ash sludge,196000.0,148500.0,47500.0,31.99
2016,ash sludge,227300.0,196000.0,31300.0,15.97
2017,ash sludge,243000.0,227300.0,15700.0,6.91
2018,ash sludge,240000.0,243000.0,-3000.0,-1.23
2019,ash sludge,252000.0,240000.0,12000.0,5.0
2020,ash sludge,228000.0,252000.0,-24000.0,-9.52
2021,ash sludge,249000.0,228000.0,21000.0,9.21
2022,ash sludge,241000.0,249000.0,-8000.0,-3.21
2003,construction debris,422900.0,,,
2004,construction debris,509000.0,422900.0,86100.0,20.36
2005,construction debris,492500.0,509000.0,-16500.0,-3.24
2006,construction debris,619000.0,492500.0,126500.0,25.69
2007,construction debris,778300.0,619000.0,159300.0,25.74
2008,construction debris,922000.0,778300.0,143700.0,18.46
2009,construction debris,1175800.0,922000.0,253800.0,27.53
2010,construction debris,921800.0,1175800.0,-254000.0,-21.6
2011,construction debris,1203700.0,921800.0,281900.0,30.58
2012,construction debris,1291800.0,1203700.0,88100.0,7.32
2013,construction debris,1695300.0,1291800.0,403500.0,31.24
2014,construction debris,1269700.0,1695300.0,-425600.0,-25.1
2015,construction debris,1411800.0,1269700.0,142100.0,11.19
2016,construction debris,1595400.0,1411800.0,183600.0,13.0
2017,construction debris,1609000.0,1595400.0,13600.0,0.85
2018,construction debris,1624000.0,1609000.0,15000.0,0.93
2019,construction debris,1440000.0,1624000.0,-184000.0,-11.33
2020,construction debris,825000.0,1440000.0,-615000.0,-42.71
2021,construction debris,1013000.0,825000.0,188000.0,22.79
2022,construction debris,1424000.0,1013000.0,411000.0,40.57
2003,ferrous metal,856700.0,,,
2004,ferrous metal,720200.0,856700.0,-136500.0,-15.93
2005,ferrous metal,818300.0,720200.0,98100.0,13.62
2006,ferrous metal,725900.0,818300.0,-92400.0,-11.29
2007,ferrous metal,736500.0,725900.0,10600.0,1.46
2008,ferrous metal,784800.0,736500.0,48300.0,6.56
2009,ferrous metal,872000.0,784800.0,87200.0,11.11
2010,ferrous metal,1194600.0,872000.0,322600.0,37.0
2011,ferrous metal,1239200.0,1194600.0,44600.0,3.73
2012,ferrous metal,1386000.0,1239200.0,146800.0,11.85
2013,ferrous metal,1416000.0,1386000.0,30000.0,2.16
2014,ferrous metal,1445900.0,1416000.0,29900.0,2.11
